City,SchoolName,Typ,Url,GeoLat,GeoLng
Bayreuth,Universität Bayreuth,Schreibberatung,http://www.uni-bayreuth.de/schreibberatung/index.html,49.9288196,11.585831
Berlin,Alice-Salomon Hochschule Berlin,Schreibcoaching,http://www.ash-berlin.eu/studienangebot/weiterbildende-masterstudiengaenge/biografisches-und-kreatives-schreiben/schreibcoaching/,52.5373728,13.6059983
Berlin,Studentenwerk Berlin,Schreibberatungsangebote der Berliner Hochschulen,http://www.studentenwerk-berlin.de/bub/schreibzentrum/hochschulangebote_schreibzentrum/index.html,52.5097943,13.32616
Bielefeld,Fachhochschule Bielefeld,Schreibberatung,http://www.fh-bielefeld.de/fb3/studium/schreibberatung,52.044595,8.493621
Bielefeld,Universität Bielefeld,Schreiblabor,http://www.uni-bielefeld.de/Universitaet/Studium/SL_K5/slab/,52.0354177,8.4963449
Bochum,Universität Bochum,Schreibzentrum,http://www.sz.ruhr-uni-bochum.de/index.html,51.44566589999999,7.261609300000001
Bonn-Rhein-Sieg,Hochschule Bonn-Rhein-Sieg,Schreibberatung,https://www.h-brs.de/de/spz/schreibwerkstatt,50.7796631,7.1828541
Bremen,Universität Bremen,Studierwerkstatt,http://www.uni-bremen.de/studierwerkstatt.html,53.10675800000001,8.852039999999999
Bremen,Universität Bremen,Online-Coaching,http://www.bremer-schreibcoach.uni-bremen.de/cms/,53.10675800000001,8.852039999999999
Darmstadt,Technische Universität Darmstadt,SchreibCenter,http://www.owl.tu-darmstadt.de/schreibkurse/schreibworkshops/workshops.de.jsp,49.874778,8.656139999999999
Dortmund,Technische Universität Dortmund,Text Lab International,http://www.zhb.tu-dortmund.de/hd/text_lab_international/,51.4926981,7.412838600000001
Duisburg-Essen,Universität Duisburg-Essen,Schreibwerkstatt,http://www.uni-due.de/schreibwerkstatt/,51.4277172,6.801007999999999
Düsseldorf,Fachhochschule Düsseldorf,SchreibMaschine,http://www.fh-duesseldorf.de/n_zwek/beratung,51.2473822,6.7916469
Düsseldorf,Universität Düsseldorf,Schreibberatung,http://www.phil-fak.uni-duesseldorf.de/schriftlichkeit/weiterfuehrende-angebote/schreibberatung/zeit-und-ort/,51.19242939999999,6.7936814
Flensburg,Universität Flensburg,Mehr StudienQualität durch Synergie,http://www.uni-flensburg.de/meqs/,54.77663399999999,9.458782
Frankfurt,Universität Frankfurt a. Main,Schreibzentrum,http://www.uni-frankfurt.de/43403430/Schreibzentrum?legacy_request=1,50.1270675,8.6677635
Frankfurt,Europa-Universität Viadrina Frankfurt a. d. Oder,Schreibzentrum,http://www.europa-uni.de/de/struktur/zsfl/institutionen/schreibzentrum/index.html,52.34235839999999,14.5546922
Fulda,Hochschule Fulda,Schreibwerkstatt,https://www2005.hs-fulda.de/?id=7017,50.56486090000001,9.6850807
Freiburg,Pädagogische Hochschule Freiburg,Schreibzentrum,https://www.ph-freiburg.de/hochschule/weitere-einrichtungen/schreibzentrum/ueber-das-schreibzentrum,47.9809637,7.892723900000001
Gießen,Universität Gießen,Schreibzentrum,http://www.uni-giessen.de/cms/fbz/zentren/zfbk/afk/schreibzentrum,50.58076399999999,8.6777534
Göttingen,Universität Göttingen,Internationales Schreibzentrum,http://www.schreibzentrum.uni-goettingen.de/,51.5408116,9.9374004
Göttingen,Universität Göttingen,Schreibzentrum Soziologie,http://schreibzentrum-soziologie.de/,51.5408116,9.9374004
Hamburg,Universität Hamburg,Schreibzentrum,http://tp06.universitaetskolleg.uni-hamburg.de/,53.5665641,9.984619499999999
